Pair,Field,vegtype,date,DOY,Year,clouds,temp,SamplingArea,censto,berinc,hypper,achmil,eristr,vicvil,diaarm,monfis,leuvul,soljun,solcan,solnem,symeri,solspe,asctub,potrec,medlup,ascsyr,eupcor,lescap,rumace,vertha,daucar,eutgra,descan,Honeybees,Bumblebees,Solitarybees,Bomimp,Bomgri,Bomfer,Bomcit,Xylvir,Antter,Hercar,Cercal,Cermik,Hallig,Halcon,Halpar,Halrub,Hylaff,Hylmes,Augper,Augaur,Augpur,Agaser,Agavir,Melsub,Melbim,Megmen,Megpug,Meglat,Megrel,Lasvie,Andast,Lasano,Laspec,Laspun,Hylmod,Colsimarm,Andpla,Melniv,Coeruf,Lasleu,Lasell,Sphdav,Peroct,Colcom,Andhir,Bomaur,Colame,Cerstr,Laspil,Melspp,Agotex,Andpla,Melden,Megrot,Dufmon,Lasver,Meldes
1,2,diverse,8/2/2012,215,2012,0,82,16,136,4,9.6,26,5.4,0,0,0,0,364,0,0,0,0,115,0,0,0.96,0,0,0,0,0,0,0,22,11,4,15,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,2,diverse,8/23/2012,236,2012,0,78,16,78,11,0,18,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,12,12,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,diverse,9/17/2012,261,2012,60,70,16,1,40,0,0,0,0,0,0,0,0,56,70,18,267,0,0,0,0,0,0,0,0,0,9,0,176,12,3,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,diverse,8/2/2012,215,2012,60,82,16,46,0,0,0,6.24,0,0,0,0,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2,4,diverse,8/23/2012,236,2012,0,78,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,3,6,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,diverse,9/17/2012,261,2012,0,70,16,4,0,0,0,0,0,0,0,0,0,14,105,83,605,0,0,0,0,0,0,0,0,0,0,0,152,11,3,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,diverse,8/2/2012,215,2012,80,82,16,13,0.32,0,2,0,0,0,14,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,7,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
3,6,diverse,8/23/2012,236,2012,10,78,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,9,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,diverse,9/17/2012,261,2012,20,70,16,12,0,0,0,0,0,0,0,0,0,294,63,9,124,0,0,0,0,0,0,0,0,0,0,0,97,13,4,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,knapweed,8/2/2012,215,2012,0,82,16,266,9.9,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,49,9,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,knapweed,8/23/2012,236,2012,0,78,16,119,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,3,33,5,31,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,knapweed,9/17/2012,261,2012,80,70,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,knapweed,8/2/2012,215,2012,60,82,16,342,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,51,35,9,39,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3,knapweed,8/23/2012,236,2012,0,78,16,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29,2,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,knapweed,9/17/2012,261,2012,0,70,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,knapweed,8/2/2012,215,2012,50,82,16,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,knapweed,8/23/2012,236,2012,0,78,16,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,3,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,knapweed,9/17/2012,261,2012,20,70,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
